Category,Xcoord,Ycoord
MFCC_7th coef,36.83741954,-63.48464653
MFCC_8th coef,21.58056152,-89.17701995
MFCC_9th coef,58.35342739,-88.54872623
MFCC_10th coef,-3.994120895,2.608815151
MFCC_11th coef,10.09392332,31.32230982
MFCC_12th coef,14.76905621,-83.35511522
delta log energy,-12.3349487,-27.88305851
0th delta,-7.156491191,-15.24972494
1st delta,-27.56513123,-22.30507192
2nd delta,66.18899742,-54.83450128
3rd delta,-45.07518277,-53.02038411
4th delta,-37.7809238,-33.97265638
5th delta,58.55718492,-59.39054665
6th delta,77.6957978,-28.9121684
7th delta,-39.12241999,-51.13160217
8th delta,71.59825237,-21.32864618
9th delta,10.38851241,-26.30691963
10th delta,-12.06788402,-33.0323303
11th delta,59.0335224,-64.59548503
12th delta,-32.64264931,-27.99712098
delta delta log energy,59.32963073,-27.43583243
delta delta 0th,77.05063874,-34.97481654
1st delta delta,60.2568484,-54.79963526
2nd delta-delta,69.87509259,-37.13893068
3rd delta-delta,55.76543923,-50.23655348
4th delta-delta,62.80178872,-37.31986221
5th delta-delta,52.27961186,-46.12301576
6th delta-delta,68.10778592,-30.01565093
7th delta-delta,11.81202119,-42.59710316
8th delta-delta,62.48966538,-31.80365238
9th delta-delta,19.13275245,-28.65006404
10th delta-delta,27.55421917,-43.03709778
11th delta-delta,51.01990117,-40.27893373
12th delta-delta,54.98750161,-23.56346365
F0_series_F0_expTitze,17.04980546,-63.22665145
std_F0_series_F0_expTitze,-69.45967116,67.98792265
prc95_5_F0_series_F0_expTitze,-83.16614459,86.78804734
Data_length,-17.8868597,79.31912735
Ea,-127.9180065,115.9629817
Ed_1_coef,-11.41819781,-42.78538961
Ed_2_coef,-16.04130181,-48.41140104
Ed_3_coef,-34.6854153,-62.85677235
Ed_4_coef,-20.40283791,-75.19677837
Ed_5_coef,-18.7546161,-78.40591382
Ed_6_coef,-14.54890471,-80.80952132
Ed_7_coef,31.92304088,25.40798417
Ed_8_coef,38.37262415,35.34954005
Ed_9_coef,41.51022955,40.01414037
Ed_10_coef,31.53752552,40.7355411
entropy_shannon_1_coef,-81.08623073,32.85199347
entropy_shannon_2_coef,-16.26121527,86.75648404
entropy_shannon_3_coef,-29.04909695,72.17395628
entropy_shannon_4_coef,34.90697753,70.00342815
entropy_shannon_5_coef,-93.01323616,-87.58734226
entropy_shannon_6_coef,-6.985168984,56.20887269
entropy_shannon_7_coef,-43.72747452,1.779114566
entropy_shannon_8_coef,-63.85783041,46.56053049
entropy_shannon_9_coef,203.1243414,305.7863868
entropy_shannon_10_coef,84.65694811,-369.2637772
entropy_log_1_coef,-124.8005562,-78.6252382
entropy_log_2_coef,-131.5041219,-205.5817485
entropy_log_3_coef,-112.5295203,-0.71164129
entropy_log_4_coef,5.661970515,-109.5192127
entropy_log_5_coef,20.3667968,98.95732898
entropy_log_6_coef,17.93860848,96.85998442
entropy_log_7_coef,-86.31302665,80.14588521
entropy_log_8_coef,-62.01856658,83.91911336
entropy_log_9_coef,-64.98554685,86.54149247
entropy_log_10_coef,-69.31140941,84.78290743
det_TKEO_mean_1_coef,98.61416407,41.95776743
det_TKEO_mean_2_coef,89.94447614,-110.7131785
det_TKEO_mean_3_coef,-56.70857404,84.07070381
det_TKEO_mean_4_coef,-54.44177485,91.27924974
det_TKEO_mean_5_coef,93.47420598,269.7964724
det_TKEO_mean_6_coef,29.10738833,106.6171949
det_TKEO_mean_7_coef,-14.64748018,113.1130373
det_TKEO_mean_8_coef,-90.87390956,-94.89367783
det_TKEO_mean_9_coef,-85.85203066,-96.9725957
det_TKEO_mean_10_coef,-19.7793656,95.71946225
det_TKEO_std_1_coef,-84.33782369,93.42639875
det_TKEO_std_2_coef,-65.22704726,-30.92829816
det_TKEO_std_3_coef,-72.06084102,46.29087824
det_TKEO_std_4_coef,-75.248922,42.38752255
det_TKEO_std_5_coef,-67.25242287,46.58471275
det_TKEO_std_6_coef,-77.82455082,37.89069782
det_TKEO_std_7_coef,-26.83699285,64.07683181
det_TKEO_std_8_coef,-91.69839494,-91.78747305
det_TKEO_std_9_coef,-92.83334004,-99.12152049
det_TKEO_std_10_coef,-23.79840968,93.67796595
entropy_shannon2_1_coef,29.53650628,279.5976795
entropy_shannon2_2_coef,-25.21795703,50.31192517
entropy_shannon2_3_coef,-128.6158543,-82.43716376
entropy_shannon2_4_coef,-32.10382531,48.9443654
entropy_shannon2_5_coef,-40.76385551,-371.0828316
entropy_shannon2_6_coef,-373.0547602,-73.15921814
entropy_shannon2_7_coef,116.5458607,209.8632511
entropy_shannon2_8_coef,-51.80982397,-157.3453098
entropy_shannon2_9_coef,110.1216321,212.8818684
entropy_shannon2_10_coef,326.7531121,-178.9888725
entropy_log2_1_coef,86.0128928,106.0810228
entropy_log2_2_coef,90.37894057,107.2751065
entropy_log2_3_coef,249.7365855,235.6313016
entropy_log2_4_coef,-87.31348545,6.737343722
entropy_log2_5_coef,-45.11499548,39.74686454
entropy_log2_6_coef,-98.54085904,108.4872782
entropy_log2_7_coef,-109.4324264,105.7406793
entropy_log2_8_coef,-115.2229462,99.64876237
entropy_log2_9_coef,-119.7853462,95.93067423
entropy_log2_10_coef,-122.6463945,92.9482145
det_TKEO_mean2_1_coef,-74.01670523,65.19034883
det_TKEO_mean2_2_coef,-52.82024099,80.98259694
det_TKEO_mean2_3_coef,113.3924456,211.5432226
det_TKEO_mean2_4_coef,-17.63055891,121.0127646
det_TKEO_mean2_5_coef,-18.13839868,115.9026825
det_TKEO_mean2_6_coef,-19.66777822,106.8524371
det_TKEO_mean2_7_coef,-18.11995603,100.7356757
det_TKEO_mean2_8_coef,-13.46603308,98.38448631
det_TKEO_mean2_9_coef,-101.7517351,47.95174652
det_TKEO_mean2_10_coef,-105.2681168,45.91835217
det_TKEO_std2_1_coef,-62.5472929,-27.05789359
det_TKEO_std2_2_coef,-30.37506837,57.3783156
det_TKEO_std2_3_coef,-30.43093156,52.39390728
det_TKEO_std2_4_coef,-24.83320938,108.1884136
det_TKEO_std2_5_coef,-25.78352883,68.86216052
det_TKEO_std2_6_coef,-20.18921125,70.8611605
det_TKEO_std2_7_coef,-83.68231264,29.30794489
det_TKEO_std2_8_coef,-36.76319176,55.44009498
det_TKEO_std2_9_coef,27.61346246,-3.332307049
det_TKEO_std2_10_coef,-121.6431177,-74.88700677
Ea2,-111.7801402,120.9069369
Ed2_1_coef,33.82385089,-29.72376293
Ed2_2_coef,34.36500607,-24.99100685
Ed2_3_coef,26.84756595,-31.26337816
Ed2_4_coef,11.3562153,-33.87943124
Ed2_5_coef,6.857137969,-35.28807804
Ed2_6_coef,3.942713389,-31.3745763
Ed2_7_coef,-7.330162623,-46.60399418
Ed2_8_coef,-28.57290053,-49.20345144
Ed2_9_coef,-34.03390857,-50.74524357
Ed2_10_coef,-30.39752123,-58.20415247
entropy_shannon3_1_coef,49.13396286,43.85732014
entropy_shannon3_2_coef,47.07195688,48.41068218
entropy_shannon3_3_coef,82.13794234,30.656195
entropy_shannon3_4_coef,107.5416354,38.18267019
entropy_shannon3_5_coef,104.1539773,39.46963361
entropy_shannon3_6_coef,105.230629,48.22665996
entropy_shannon3_7_coef,76.38517272,42.44645702
entropy_shannon3_8_coef,12.75095178,7.52245408
entropy_shannon3_9_coef,15.24538587,5.419095971
entropy_shannon3_10_coef,85.79651899,-109.0117537
entropy_log3_1_coef,-122.676426,-80.48251739
entropy_log3_2_coef,-131.0654562,156.8286997
entropy_log3_3_coef,-110.6323618,-41.4110407
entropy_log3_4_coef,3.165813412,-108.2813399
entropy_log3_5_coef,24.55470059,102.6513805
entropy_log3_6_coef,-88.76447995,74.5395107
entropy_log3_7_coef,-60.68562178,91.07144213
entropy_log3_8_coef,-79.16877521,75.41852577
entropy_log3_9_coef,6.715957084,46.40985675
entropy_log3_10_coef,-75.18979604,78.13529856
det_TKEO_mean3_1_coef,28.40404338,-35.74020883
det_TKEO_mean3_2_coef,23.15600107,-38.18616305
det_TKEO_mean3_3_coef,-2.112942009,-47.61353386
det_TKEO_mean3_4_coef,-22.99415646,-71.80243084
det_TKEO_mean3_5_coef,-9.779646408,-76.42469567
det_TKEO_mean3_6_coef,33.48459542,29.67780528
det_TKEO_mean3_7_coef,54.43705236,42.20945401
det_TKEO_mean3_8_coef,40.13123026,-60.10995735
det_TKEO_mean3_9_coef,100.7771569,-9.705827845
det_TKEO_mean3_10_coef,84.16960284,25.49739895
det_TKEO_std3_1_coef,-15.86892644,-42.90899448
det_TKEO_std3_2_coef,-13.12734304,-53.07060789
det_TKEO_std3_3_coef,-33.86415065,-68.85259086
det_TKEO_std3_4_coef,-10.3234302,-72.44232938
det_TKEO_std3_5_coef,-1.667055147,-68.39851553
det_TKEO_std3_6_coef,35.42484278,37.77239866
det_TKEO_std3_7_coef,67.53015478,51.89991058
det_TKEO_std3_8_coef,42.85609912,-58.01560077
det_TKEO_std3_9_coef,82.73359333,-1.108297404
det_TKEO_std3_10_coef,86.49480005,21.46875938
entropy_shannon4_1_coef,-55.27991205,-102.4667332
entropy_shannon4_2_coef,-53.6501229,-105.6034905
entropy_shannon4_3_coef,-54.69470413,-109.8273319
entropy_shannon4_4_coef,-51.16265679,-112.6728696
entropy_shannon4_5_coef,-53.84729424,-116.2208717
entropy_shannon4_6_coef,-51.13214798,-119.3019964
entropy_shannon4_7_coef,-46.83034689,-118.4405342
entropy_shannon4_8_coef,-41.91429343,-120.5618625
entropy_shannon4_9_coef,-37.34681425,-122.54901
entropy_shannon4_10_coef,-33.25407221,-124.2603382
entropy_log4_1_coef,93.54685112,108.4617688
entropy_log4_2_coef,252.6330555,236.5865237
entropy_log4_3_coef,-89.93959183,8.354391526
entropy_log4_4_coef,-47.51980678,22.35156564
entropy_log4_5_coef,-97.36928813,105.5049914
entropy_log4_6_coef,-107.8376091,102.712416
entropy_log4_7_coef,-114.6261662,95.34720827
entropy_log4_8_coef,-119.124203,89.68913295
entropy_log4_9_coef,-121.3960813,85.1508989
entropy_log4_10_coef,-124.8991796,85.95859613
det_TKEO_mean4_1_coef,-6.413023141,-22.60592895
det_TKEO_mean4_2_coef,-3.5167024,-17.83997073
det_TKEO_mean4_3_coef,1.178316804,-14.96098369
det_TKEO_mean4_4_coef,30.87200207,-110.5933771
det_TKEO_mean4_5_coef,66.711919,-113.0004437
det_TKEO_mean4_6_coef,76.338102,-108.6690458
det_TKEO_mean4_7_coef,85.15501212,-95.40070851
det_TKEO_mean4_8_coef,87.74260582,-86.85748067
det_TKEO_mean4_9_coef,-70.58919175,-46.53208303
det_TKEO_mean4_10_coef,-70.18853091,-38.7438469
det_TKEO_std4_1_coef,5.462489049,-13.07975498
det_TKEO_std4_2_coef,33.86901244,-112.1550323
det_TKEO_std4_3_coef,63.75800551,-113.9637995
det_TKEO_std4_4_coef,71.65092406,-110.9708913
det_TKEO_std4_5_coef,80.5560618,-106.4155047
det_TKEO_std4_6_coef,86.25966899,-92.19459341
det_TKEO_std4_7_coef,88.36171598,-82.89864177
det_TKEO_std4_8_coef,-69.03226967,-42.93967748
det_TKEO_std4_9_coef,-70.5944486,-33.5711117
det_TKEO_std4_10_coef,-75.20039902,-31.52202377
